domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,156544,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,163259,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,150601,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,166461,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,162851,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,159363,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,164394,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,176553,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,168539,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,162779,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,168688,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,159717,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,7,unfactored,PlanningResult.FAILURE_BUDGET,100,171885,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,26,46680,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,38,48571,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,26,49058,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,33,53851,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,26,47322,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,33,51622,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,26,48429,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,32,54220,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,32,52490,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,35,53036,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,40,57702,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,30,56138,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,37,56162,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,30,50903,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,26,50501,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,32,48244,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,36,55571,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,30,50426,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,26,52876,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,9,unfactored,PlanningResult.SUCCESS,42,54040,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,20,45240,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,20,48028,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,23,46102,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,23,50596,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,24,47452,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,22,50347,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,21,49979,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,22,49477,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,23,51462,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,26,53866,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,20,54330,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,25,49565,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,27,53670,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,23,54428,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,27,54292,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,26,54857,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,29,56054,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,28,60377,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.SUCCESS,30,57369,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,11,unfactored,PlanningResult.FAILURE_BUDGET,100,138893,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,14,unfactored,PlanningResult.SUCCESS,40,172469,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,13,unfactored,PlanningResult.SUCCESS,46,148416,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.SUCCESS,23,70061,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,217529,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,213610,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,263380,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,254779,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,13,unfactored,PlanningResult.SUCCESS,38,161337,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,13,unfactored,PlanningResult.FAILURE_BUDGET,100,369678,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,13,unfactored,PlanningResult.FAILURE_BUDGET,100,410032,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,13,unfactored,PlanningResult.FAILURE_BUDGET,100,421316,1000,20,100,1.4142135623730951,True,5,-0.1,1,
